                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  19000  4.4020e+03   2.6774e+03   2.7822e+03   1.4132e+03  -2.4708e+03  | 240.000
Sim Anneal  20000  4.3902e+03   2.6962e+03   2.7357e+03   1.4301e+03  -2.4718e+03  | 200.000
Sim Anneal  21000  4.2982e+03   2.6886e+03   2.6619e+03   1.4206e+03  -2.4729e+03  | 160.000
Sim Anneal  22000  4.2526e+03   2.6419e+03   2.6592e+03   1.4237e+03  -2.4721e+03  | 120.000
Sim Anneal  23000  4.2526e+03   2.6419e+03   2.6592e+03   1.4237e+03  -2.4721e+03  | 80.000
Sim Anneal  24000  4.2511e+03   2.6411e+03   2.6603e+03   1.4222e+03  -2.4724e+03  | 40.000
Sim Anneal  25000  4.1824e+03   2.5789e+03   2.6600e+03   1.4184e+03  -2.4749e+03  |  0.000
ILSRR 4182.374173830785 1868.4254456162357 
Sim Anneal      0  2.4710e+12   2.4710e+12   5.4876e+03   1.5805e+03  -2.6189e+03  | -1.000
Sim Anneal   1000  5.9418e+03   3.1738e+03   4.0151e+03   1.2153e+03  -2.4624e+03  | 960.000
Sim Anneal   2000  5.1368e+03   3.0958e+03   3.2299e+03   1.2854e+03  -2.4743e+03  | 920.000
Sim Anneal   3000  4.0902e+03   3.0779e+03   2.0535e+03   1.4244e+03  -2.4656e+03  | 880.000
Sim Anneal   4000  3.6833e+03   3.1947e+03   1.4599e+03   1.5223e+03  -2.4936e+03  | 840.000
Sim Anneal   5000  3.3671e+03   2.8627e+03   1.3208e+03   1.6626e+03  -2.4789e+03  | 800.000
Sim Anneal   6000  3.3474e+03   2.8703e+03   1.2749e+03   1.6811e+03  -2.4790e+03  | 760.000
Sim Anneal   7000  3.1502e+03   2.6255e+03   1.3790e+03   1.6081e+03  -2.4624e+03  | 720.000
Sim Anneal   8000  3.0095e+03   2.6652e+03   1.1469e+03   1.6682e+03  -2.4709e+03  | 680.000
Sim Anneal   9000  2.8841e+03   2.6432e+03   1.1071e+03   1.5931e+03  -2.4594e+03  | 640.000
Sim Anneal  10000  2.6636e+03   2.5645e+03   9.1215e+02   1.6435e+03  -2.4566e+03  | 600.000
Sim Anneal  11000  2.6473e+03   2.5687e+03   8.8315e+02   1.6514e+03  -2.4559e+03  | 560.000
Sim Anneal  12000  2.6199e+03   2.5157e+03   9.0085e+02   1.6622e+03  -2.4588e+03  | 520.000
Sim Anneal  13000  2.5561e+03   2.5018e+03   7.9184e+02   1.7261e+03  -2.4636e+03  | 480.000
Sim Anneal  14000  2.4463e+03   2.5417e+03   6.8567e+02   1.6764e+03  -2.4575e+03  | 440.000
Sim Anneal  15000  2.4056e+03   2.5301e+03   6.2373e+02   1.7111e+03  -2.4593e+03  | 400.000
Sim Anneal  16000  2.3849e+03   2.5659e+03   6.7706e+02   1.6141e+03  -2.4722e+03  | 360.000
Sim Anneal  17000  2.3902e+03   2.5570e+03   6.9991e+02   1.6097e+03  -2.4764e+03  | 320.000
Sim Anneal  18000  2.3768e+03   2.5533e+03   6.8499e+02   1.6163e+03  -2.4777e+03  | 280.000
Sim Anneal  19000  2.3702e+03   2.5406e+03   6.8779e+02   1.6179e+03  -2.4761e+03  | 240.000
Sim Anneal  20000  2.3735e+03   2.5501e+03   6.8009e+02   1.6198e+03  -2.4765e+03  | 200.000
Sim Anneal  21000  2.3735e+03   2.5501e+03   6.8009e+02   1.6198e+03  -2.4765e+03  | 160.000
Sim Anneal  22000  2.3403e+03   2.5262e+03   6.5282e+02   1.6360e+03  -2.4747e+03  | 120.000
Sim Anneal  23000  2.3273e+03   2.5182e+03   6.4455e+02   1.6366e+03  -2.4721e+03  | 80.000
Sim Anneal  24000  2.3151e+03   2.4789e+03   6.8371e+02   1.6195e+03  -2.4669e+03  | 40.000
