 STAGE_1 STEP 177    | E(total)= 49.3252    | AR= 19.8 %  | T= 0.0041  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 178    | E(total)= 49.3252    | AR= 19.7 %  | T= 0.0041  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 179    | E(total)= 49.3252    | AR= 19.6 %  | T= 0.0041  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 180    | E(total)= 49.3252    | AR= 19.4 %  | T= 0.0040  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 181    | E(total)= 49.3252    | AR= 19.3 %  | T= 0.0040  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 182    | E(total)= 49.3252    | AR= 19.2 %  | T= 0.0040  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 183    | E(total)= 49.3252    | AR= 19.1 %  | T= 0.0039  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 184    | E(total)= 49.3252    | AR= 19.0 %  | T= 0.0039  | E(ani)= -8.5652    | E(cls)= 57.8904   
 STAGE_1 STEP 185    | E(total)= 48.0296    | AR= 19.5 %  | T= 0.0039  | E(ani)= -8.5244    | E(cls)= 56.5540   
 STAGE_1 STEP 186    | E(total)= 48.0296    | AR= 19.4 %  | T= 0.0038  | E(ani)= -8.5244    | E(cls)= 56.5540   
 STAGE_1 STEP 187    | E(total)= 48.0296    | AR= 19.3 %  | T= 0.0038  | E(ani)= -8.5244    | E(cls)= 56.5540   
 STAGE_1 STEP 188    | E(total)= 48.0296    | AR= 19.1 %  | T= 0.0038  | E(ani)= -8.5244    | E(cls)= 56.5540   
 STAGE_1 STEP 189    | E(total)= 48.0296    | AR= 19.0 %  | T= 0.0037  | E(ani)= -8.5244    | E(cls)= 56.5540   
