(   MC)        80000 | ⚡E:  3.405e+03 ▶️ ⚡Amber:  2.720e+03 & ⚡Other:  6.845e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4453 | T: 180.00
(   MC)        90000 | ⚡E:  2.836e+03 ▶️ ⚡Amber:  2.387e+03 & ⚡Other:  4.495e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4377 | T: 165.00
(   MC)       100000 | ⚡E:  2.434e+03 ▶️ ⚡Amber:  1.741e+03 & ⚡Other:  6.924e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4319 | T: 150.00
(   MC)       110000 | ⚡E:  2.231e+03 ▶️ ⚡Amber:  1.762e+03 & ⚡Other:  4.687e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4246 | T: 135.00
(   MC)       120000 | ⚡E:  2.751e+03 ▶️ ⚡Amber:  2.202e+03 & ⚡Other:  5.490e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4181 | T: 120.00
(   MC)       130000 | ⚡E:  1.932e+03 ▶️ ⚡Amber:  1.677e+03 & ⚡Other:  2.553e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4061 | T: 105.00
(   MC)       140000 | ⚡E:  9.357e+02 ▶️ ⚡Amber:  6.342e+02 & ⚡Other:  3.015e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3966 | T: 90.00
(   MC)       150000 | ⚡E:  1.106e+03 ▶️ ⚡Amber:  8.326e+02 & ⚡Other:  2.735e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3869 | T: 75.00
(   MC)       160000 | ⚡E:  1.076e+03 ▶️ ⚡Amber:  7.983e+02 & ⚡Other:  2.773e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3773 | T: 60.00
(   MC)       170000 | ⚡E:  1.154e+02 ▶️ ⚡Amber: -1.267e+02 & ⚡Other:  2.421e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3686 | T: 45.00
(   MC)       180000 | ⚡E: -3.366e+02 ▶️ ⚡Amber: -5.770e+02 & ⚡Other:  2.404e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3596 | T: 30.00
(   MC)       190000 | ⚡E: -9.683e+02 ▶️ ⚡Amber: -1.211e+03 & ⚡Other:  2.429e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3520 | T: 15.00
(   MC)       200000 | ⚡E: -1.064e+03 ▶️ ⚡Amber: -1.308e+03 & ⚡Other:  2.434e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.3454 | T: 0.00
(   MC)            0 | ⚡E:  8.281e+11 ▶️ ⚡Amber:  8.281e+11 & ⚡Other:  2.099e+02 | Dihedral: 1.57e+00 | Crankshaft: 1.57e+00 | AR: 0.0000 | T: 300.00
(   MC)        10000 | ⚡E:  3.827e+03 ▶️ ⚡Amber:  3.487e+03 & ⚡Other:  3.403e+02 | Dihedral: 3.14e+00 | Crankshaft: 3.14e+00 | AR: 0.4795 | T: 285.00
