(REFNM)           65 | ⚡E:  2.713e+03 ▶️ ⚡Amber:  2.353e+03 & ⚡Other:  3.599e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5846 | T: 200.00
(REFNM)           66 | ⚡E:  2.653e+03 ▶️ ⚡Amber:  2.293e+03 & ⚡Other:  3.592e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5909 | T: 200.00
(REFNM)           67 | ⚡E:  2.421e+03 ▶️ ⚡Amber:  2.058e+03 & ⚡Other:  3.629e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5970 | T: 200.00
(REFNM)           68 | ⚡E:  2.313e+03 ▶️ ⚡Amber:  1.950e+03 & ⚡Other:  3.630e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6029 | T: 200.00
(REFNM)           69 | ⚡E:  2.168e+03 ▶️ ⚡Amber:  1.809e+03 & ⚡Other:  3.586e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6087 | T: 200.00
(REFNM)           70 | ⚡E:  2.168e+03 ▶️ ⚡Amber:  1.809e+03 & ⚡Other:  3.586e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6000 | T: 200.00
(REFNM)           71 | ⚡E:  2.242e+03 ▶️ ⚡Amber:  1.885e+03 & ⚡Other:  3.569e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.6056 | T: 200.00
(REFNM)           72 | ⚡E:  2.242e+03 ▶️ ⚡Amber:  1.885e+03 & ⚡Other:  3.569e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5972 | T: 200.00
(REFNM)           73 | ⚡E:  2.242e+03 ▶️ ⚡Amber:  1.885e+03 & ⚡Other:  3.569e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5890 | T: 200.00
(REFNM)           74 | ⚡E:  2.242e+03 ▶️ ⚡Amber:  1.885e+03 & ⚡Other:  3.569e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5811 | T: 200.00
(REFNM)           75 | ⚡E:  2.242e+03 ▶️ ⚡Amber:  1.885e+03 & ⚡Other:  3.569e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5733 | T: 200.00
(REFNM)           76 | ⚡E:  2.150e+03 ▶️ ⚡Amber:  1.794e+03 & ⚡Other:  3.563e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5789 | T: 200.00
(REFNM)           77 | ⚡E:  2.150e+03 ▶️ ⚡Amber:  1.794e+03 & ⚡Other:  3.563e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5714 | T: 200.00
(REFNM)           78 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5769 | T: 200.00
(REFNM)           79 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5696 | T: 200.00
(REFNM)           80 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5625 | T: 200.00
(REFNM)           81 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5556 | T: 200.00
(REFNM)           82 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5488 | T: 200.00
(REFNM)           83 | ⚡E:  2.155e+03 ▶️ ⚡Amber:  1.802e+03 & ⚡Other:  3.534e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5422 | T: 200.00
(REFNM)           84 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.867e+03 & ⚡Other:  3.585e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5476 | T: 200.00
(REFNM)           85 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.867e+03 & ⚡Other:  3.585e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5412 | T: 200.00
(REFNM)           86 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5465 | T: 200.00
(REFNM)           87 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5402 | T: 200.00
(REFNM)           88 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5341 | T: 200.00
(REFNM)           89 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5281 | T: 200.00
(REFNM)           90 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5222 | T: 200.00
(REFNM)           91 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5165 | T: 200.00
(REFNM)           92 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5109 | T: 200.00
(REFNM)           93 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5054 | T: 200.00
(REFNM)           94 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.5000 | T: 200.00
(REFNM)           95 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4947 | T: 200.00
(REFNM)           96 | ⚡E:  2.226e+03 ▶️ ⚡Amber:  1.872e+03 & ⚡Other:  3.547e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4896 | T: 200.00
(REFNM)           97 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.939e+03 & ⚡Other:  3.568e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4948 | T: 200.00
(REFNM)           98 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.939e+03 & ⚡Other:  3.568e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4898 | T: 200.00
(REFNM)           99 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.939e+03 & ⚡Other:  3.568e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4848 | T: 200.00
(REFNM)          100 | ⚡E:  2.296e+03 ▶️ ⚡Amber:  1.939e+03 & ⚡Other:  3.568e+02 | DH: 1.57e-02 | CS: 1.57e-02 | BR:     0.02 | AR: 0.4800 | T: 200.00
